Name,Elevation (m)
Große Arnspitze,2196
Hochkalter,2608
Hochplatte,2082
Krottenkopf,2086
Zugspitze,2962
Soiernspitze,2253
Bockkarkopf,2609
Leutascher Dreitorspitze,2682
Hochfrottspitze,2649
Westliche Karwendelspitze,2385
Südliches Höllhorn,2145
Mädelegabel,2644
Rauheck,2385
Rotgundspitze,2485
Schneefernerkopf,2874
Osterfelderkopf,2060
Alpspitze,2628
Walser Hammerspitze,2170
Nebelhorn,2224
Frieder,2053
Friederspitz,2049
Schellschlicht,2052
Kuchelbergspitze,2020
Kuchelbergkopf,2026
Großer Daumen,2280
Schöttelkarspitze,2050
Unknown,2285
Nördlicher Schafalpenkopf,2320
Kemptner Kopf,2191
Frauenalpl,2202
Bernadeinkopf,2144
Geißhorn,2366
Nördliche Linderspitze,2372
Unknown,2048
Hocheck,2651
Kreuzspitze,2367
Kreuzkopf,2287
Vorderer Wilder,2240
Großer Wilder,2379
Kratzer,2427
Hochgehrenspitze,2251
Kastenkopf,2129
Grüner Kopf,2212
Knappenkopf,2071
Fuchskarspitze,2314
Nördliche Fuchskarspitze,2252
Kleiner Wanner,2548
Großer Archenkopf,2391
Zugspitzeck,2815
Lärchwand,2186
Obere Wettersteinspitze,2297
Watzmann-Mittelspitze,2713
Tiefkarspitze,2430
Brunnsteinspitze,2180
Großer Hundstod,2593
Schottmalhorn,2045
Entschenkopf,2043
Krähe,2010
Sechszinkenspitze,2213
Hahnenköpfle,2082
Oberer Rißkopf,2049
Bischof,2033
Rappenseekopf,2469
Fürschießer,2271
Muttlerkopf,2368
Höfats Zweiter Gipfel,2258
Westlicher Wengenkopf,2235
Östlicher Wengenkopf,2207
Rotspitz,2034
Kleiner Daumen,2197
Liechelkopf,2384
Glasfelderkopf,2270
Watzmann-Südspitze,2712
Hirschwiese,2114
Kanzelwand,2058
Stuhljoch,2446
Östliche Karwendelspitze,2537
Großer Schneiber,2330
Hocheck,2230
Wildpalfen,2236
Fagstein,2164
Lafeldkopf,2074
Gjaidkopf,2268
Graskopf,2094
Steintalhörnl,2468
Hinterbergkopf,2247
Schärtenspitze,2153
Kleiner Watzmann,2307
Griesspitze,2257
Hachelkopf,2066
Laubwand,2312
Großer Waxenstein,2276
Kleiner Waxenstein,2136
Hinterer Waxenstein,2268
Nördliche Riffelspitze,2242
Südliche Riffelspitze,2262
Große Riffelwandspitze,2625
Kleine Riffelwandspitze,2543
Riffeltorkopf,2230
Mittlere Höllentalspitze,2740
Innere Höllentalspitze,2741
Brunntalkopf,2260
Äußere Höllentalspitze,2715
Vollkarspitze,2630
Blassenspitze,2420
Östliche Plattspitze,2680
Hochscheibe,2460
Ebenhorn,2371
Wagendrischelhorn,2251
Unterer Plattelkopf,2106
Oberer Plattelkopf,2098
Reiter Steinberg,2060
Hohes Gerstfeld,2031
Rosentalhörnl,2110
Feldernkopf,2071
Westliches Kirchl,2241
Kreuzwand,2130
Viererspitze,2054
Mittleres Kirchl,2211
Östliches Kirchl,2225
Westliche Larchetfleckspitze,2303
Östliche Larchetfleckspitze,2362
Bäralplkopf,2323
Östliche Steinkarspitze,2015
Linkerskopf,2459
Wilder Mann,2577
Kleiner Rappenkopf,2276
Unknown,2073
Westlicher Berg der guten Hoffnung,2381
Trettachspitze,2595
Unknown,2279
Unknown,2328
Unknown,2385
Hielesköpfle,2248
Unknown,2017
Gieseler Wand,2020
Kleine Höfats,2073
Wildengundkopf,2197
Angererkopf,2263
Haldenwanger Kopf,2002
Rossgundkopf,2139
Alpgundkopf,2177
Grießgundkopf,2164
Rossgundturm,2066
Kälbelespitze,2135
Wiedemerkopf,2163
Kammerlinghorn,2483
Schönangerspitze,2264
Schneck,2268
Himmeleck,2152
Schneck-Vorgipfel,2258
Seebichel,2111
Laufbacher Eck,2178
Krummer Turm,2477
Gundkopf,2063
Unknown,2023
Kleiner Seekopf,2096
Großer Seekopf,2085
Lachenkopf,2111
Balken,2172
Südliche Balkenspitze,2324
Obere Gottesackerwände,2033
Pfannenhölzer,2029
Älpelekopf,2024
Schänzlekopf,2070
Sattelkopf,2097
Kirchturm,2013
Salober,2088
Bergächtle,2007
Laufbichelkirche Südgipfel,2029
Heubatspitze,2008
Unknown,2150
Großer Wilder Nordgipfel,2370
Hinterer Wilder,2359
Westliche Törlspitze,2427
Wildengundkopf,2238
Blaueisspitze,2481
Steinberg,2065
Kleinkalter,2513
Wimbachschneidspitze,2368
Ofentalhörnl,2513
Schärtenwandkopf,2065
Schönwandeck,2450
Rotpalfen,2367
Hocheishörndl,2252
Eislhörndl,2095
Vorderberghörndl,2083
Hinterberghorn,2493
Kleines Palfenhorn,2073
1. Watzmannkind,2247
3. Watzmannkind,2209
4. Watzmannkind,2270
5. Watzmannkind,2225
Reinersberg,2171
Hochsäul,2073
Windschartenkopf,2211
Schloßkopf,2139
Krottenkopf Ostgipfel,2008
Lahnerkopf,2121
Unknown,2119
Bramasofenkopf,2147
Hüttenkopf,2208
Vordere Schlichtenkarspitze,2356
Mittlere Linderspitze,2239
Gerberkreuz,2303
Schafreuter,2102
Zwölferkopf,2226
Schochen,2100
Rotkopf Südgipfel,2183
Rotkopf,2194
Rotkopf Nordgipfel,2188
Unknown,2011
Sulzleklammspitze,2321
Bergl,2272
Großer Kirchturm,2514
Hochblassen,2706
Hoher Gaif,2288
Rotwandlspitze,2192
Hochwanner,2744
Gumpenkarspitze,2010
Soiernschneid,2174
Krapfenkarspitze,2110
Großes Mühlsturzhorn,2234
Kleines Mühlsturzhorn,2141
Knittelhorn,2015
Großes Grundübelhorn,2096
Kleines Grundübelhorn,2084
Höllentorkopf,2150
Riffelköpfe,2389
Kleines Teufelshorn,2283
Vorderer Kragenkopf,2173
Hocheisspitze,2523
Funtenseetauern,2578
Großes Teufelshorn,2362
Scharnitzspitze,2461
Kareck,2046
Öfnerspitze,2576
Gamskarköpfl,2031
Ofentalhörndl,2513
Karlkopf,2195
Steinberg,2026
Oberreintalturm,2014
2. Watzmannkind,2232
Lablkopf,2015
Hoher Göll,2522
Stadelhorn,2286
Ledererkopf,2050
"Partenkirchner Dreitorspitze, Mittelgipfel",2622
"Partenkirchner Dreitorspitze, Nordostgipfel",2626
Östliche Törlspitze,2444
Höfats Ostgipfel,2258
Kirchl,2050
Pflughörndl,2047
Frauenalplspitz,2369
Frauenalplkopf,2351
Signalkuppe,2486
Bayerländerturm,2507
Schossenkopf,2106
Grauer Kopf,2054
Kopf des Hunds,2012
Hocheiskopf,2495
Kleiner Kirchturm,2368
Unknown,2053
Jungfernkarkopf,2355
Falkenberg,2003
Höfats Mittelgipfel,2257
Feldernkreuz,2048
Hohes Brett,2340
Unknown,2028
Toreck,2016
Reißende Lahnspitz,2209
Drei Scharten,2304
